src_ip,dst_ip,src_port,dst_port,proto,state,last_seen
192.168.44.132,192.168.44.1,22,58557,6,4,4294915154
185.125.190.58,192.168.44.132,123,55283,17,1,4294914291
192.168.44.1,192.168.44.132,58557,22,6,4,4294915154
192.168.44.132,185.125.190.58,55283,123,17,1,4294914200
127.0.0.1,127.0.0.1,35953,35326,6,4,4294915154
127.0.0.1,127.0.0.1,35326,35953,6,4,4294915154
